comment_class,comment_text,category,reply_count,like_count,video_name,date
11,Growing up I did shit so evil️,11,0,12,,2017-12-22T11:51:47.000Z
0,hardest track on the album,12,0,0,,2017-12-22T11:59:45.000Z
0,Niceeee <3,,0,2,,2017-12-22T12:01:23.000Z
0,Nursery rhyme rap smdh,,0,0,,2017-12-22T12:08:28.000Z
0,I GOT FREE BEATS ...PEACE,3,0,0,,2017-12-22T12:11:53.000Z
0,This is hard,,0,26,,2017-12-22T12:12:47.000Z
0,Bump n now gucci  so lit rt now....gucci gang rt here,3,0,1,,2017-12-22T12:14:01.000Z
0,damn Mr Davis u did it again brrrrr,3,0,0,,2017-12-22T12:35:36.000Z
0,Evansville Indiana... SALUTE,,1,3,,2017-12-22T12:53:51.000Z
0,Wop pplz champion,,0,0,,2017-12-22T12:55:33.000Z
9,<NULL>,,0,0,,2017-12-22T13:01:36.000Z
11,Hard as fuck,11,0,0,,2017-12-22T13:09:26.000Z
9,<NULL>,,0,0,,2017-12-22T13:47:18.000Z
0,Who is here before NUMBER million views ? 4k views at this moment,10,0,0,,2017-12-22T14:10:02.000Z
0,Who here before a million views,8,0,19,,2017-12-22T14:12:07.000Z
0,Im Here Before All The Mili's,8,0,0,,2017-12-22T14:41:22.000Z
0,Gucci,,0,0,,2017-12-22T15:06:36.000Z
0,Gucci my popz now ion care,3,1,2,,2017-12-22T15:43:49.000Z
9,<NULL>,,0,0,,2017-12-22T15:47:52.000Z
0,Grrrrr I grind hard go hard getting money it’s a side efx,4,0,0,,2017-12-22T16:12:28.000Z
0,Who a clone now,,0,5,,2017-12-22T16:27:51.000Z
0,GUCCI,,0,0,,2017-12-22T16:29:23.000Z
0,"RIP real Gucci ""make u think it is the real Gucci""""who the hottest? <del>guwap</del> or Gucci?""",8,3,4,,2017-12-22T17:29:34.000Z
0,Zone6,,0,1,,2017-12-22T17:47:08.000Z
0,Fire fire keep giving them hell I am a original Gucci fan,10,0,1,,2017-12-22T18:01:09.000Z
11,Fuck a snack gucci ate this bih like da whole meal,11,0,1,,2017-12-22T18:10:19.000Z
0,FUK WIT MY FREESTYLES!!! NUMBER TO 404,10,0,1,,2017-12-22T18:44:31.000Z
0,who got da soufside type beats??? fwm,10,1,2,,2017-12-22T18:57:27.000Z
11,Miami In This Bitch!,11,0,0,,2017-12-22T19:20:39.000Z
0,goat,,0,1,,2017-12-22T19:57:09.000Z
0,Fuxk a clone this the real Gucci,8,1,19,,2017-12-22T20:11:46.000Z
0,Who here before 10k this whole tape fire,2,0,1,,2017-12-22T20:40:52.000Z
0,Damn my amp is overheating from this  Ayy,8,0,1,,2017-12-22T21:05:32.000Z
9,<NULL>,,0,0,,2017-12-22T21:20:11.000Z
11,My nigga Gucci,11,0,0,,2017-12-22T21:25:05.000Z
11,GROWING UP I DID SHIT SO EVIL!,11,0,1,,2017-12-22T21:33:06.000Z
0,Brick Squad Boss!!,,0,0,,2017-12-22T22:02:55.000Z
9,<NULL>,,0,0,,2017-12-23T00:07:51.000Z
0,1:39 *last month quarter mill for a feature”,3,0,3,,2017-12-23T01:06:22.000Z
0,Who here becuzz big neechi said Gucci shouted him out lol,10,0,0,,2017-12-23T01:42:12.000Z
0,It's gotta be the drink. Thank you old big cat Gucci.,3,0,1,,2017-12-23T02:03:21.000Z
0,01.39 Yesterday half a mil for NUMBER features = 250k Jake Paul feature 🤛,12,0,0,,2017-12-23T03:29:01.000Z
0,ITS GUWOP! The old Gucci is back.,1,0,3,,2017-12-23T04:35:19.000Z
0,Tryna keep up with the Wop but it got Side Effects️,8,0,11,,2017-12-23T05:02:44.000Z
0,Gucci sexi af low key...all his ex's Hella jealous at wifey. Can't even hate on the Wobsters,12,0,1,,2017-12-23T05:53:41.000Z
0,Here before 30k views,,0,0,,2017-12-23T05:56:05.000Z
0,Bruh just got the notification...,8,0,0,,2017-12-23T07:45:08.000Z
0,I love you Gucci :-),,0,0,,2017-12-23T15:08:57.000Z
0,Gucci Snapped,,0,0,,2017-12-23T15:20:54.000Z
11,"""doin editing turnt out she jus a fat bitch"" ",11,0,0,,2017-12-23T15:34:23.000Z
0,Old GUWOP BACKK,,0,0,,2017-12-23T15:44:13.000Z
0,Pull up on the plug in a private jet wtf big guwop,11,0,1,,2017-12-23T16:43:07.000Z
9,<NULL>,,0,1,,2017-12-23T17:58:51.000Z
0,ready for spm to get out. these two would go hard together,12,0,1,,2017-12-23T19:33:11.000Z
11,"I know, jeezy, boosie, Gucci, Eminem all dropped albums the same day or behind each other..... but out of all I am sorry but boosie (Boopac) album took this one. Sorry Eminem do not even fucking count to me lol I just added him just cause.",11,0,0,,2017-12-23T21:56:22.000Z
0,this one goes in 100,1,0,1,,2017-12-23T23:07:52.000Z
0,Wop!!!!,,0,1,,2017-12-24T04:29:38.000Z
9,<NULL>,,0,0,,2017-12-24T06:09:01.000Z
11,"Gato!!!!!! Lyrics : I pop a whatchya-ma-call-it, but it got side-effectsDick rock-hard like a math testHit it from the side, that is a side-effectI'm a Zone NUMBER nigga, now you are my bitchSlurpin' up the drank and it got side-effectsShit expensive, bitch, you thirsty like a cactusTried to DM a bad bitch, but he got catfishedDoin' editin', turns out she is just a fat bitchTrynna keep her with the 'Wop, but it got side-effectsHe filin' bankrupted, turned up on the internetHe lease the Wraith, he deficient on his taxesThought he was trappin', where the cash at, you stashed itI'm El Gato, front door, but it got side-effectsMy door defy the laws of science, I am a scientistI put a key in my rerock machine and press itIt came from Tijuana but I had to skretch itCartel affiliations, man, they causin' side-effectsI'm talkin' pull up to the plug in a private jetI'm talkin' numbers so low, it got me cheesin'Blowin' money like trees, Big Meechin'I'm droppin' good game on your big peachesI just scope-tracked the trailer, free reeferSide-effects strike first, Grim ReaperDesert Eagle, four-five, street-sweeperLike Gucci really see dead peopleI mean really man, I see dead peopleBody found, do not make it a sequelSide-effect, me an' you are not equalGrowin' up, I did shit so evilYesterday, half a mil' for two featuresNiggas warin' in the streets, we ain't equalIf I get caught, I see no evilA side-effect, I bought a brick and two BeepersHow you snitchin' on a nigga that feed you?A side-effect, get rich, they turn evilIs that a car, is that a plane? No, that is a creatureGuwop",11,0,2,,2017-12-24T08:51:09.000Z
0,Never sleep on Gucci Mane he could die and still be pushing albums out NUMBER uears later.,3,1,9,,2017-12-24T12:15:45.000Z
9,<NULL>,,0,1,,2017-12-24T13:36:44.000Z
0,Best song on the album!!!,3,0,1,,2017-12-24T18:54:39.000Z
0,Before 100k?,,0,0,,2017-12-24T20:18:14.000Z
0,Hawaii loves the return of the East ATLANTA Santa.,10,0,4,,2017-12-24T20:40:49.000Z
9,<NULL>,,0,0,,2017-12-24T23:21:19.000Z
11,"[Intro] Southside on the track, yeah Gato [Verse] I pop a whatchya-ma-call-it, but it got side-effects Dick rock-hard like a math test Hit it from the side, that is a side-effect I am a Zone NUMBER nigga, now you are my bitch Slurpin' up the drank and it got side-effects Shit expensive, bitch, you thirsty like a cactus Tried to DM a bad bitch, but he got catfished Doin' editin', turns out she is just a fat bitch Trynna keep her with the 'Wop, but it got side-effects He filin' bankrupted, turned up on the internet He lease the Wraith, he deficient on his taxes Thought he was trappin', where the cash at, you stashed it I am El Gato, front door, but it got side-effects My door defy the laws of science, I am a scientist I put a key in my rerock machine and press it It came from Tijuana but I had to skretch it Cartel affiliations, man, they causin' side-effects I am talkin' pull up to the plug in a private jet I am talkin' numbers so low, it got me cheesin' Blowin' money like trees, Big Meechin' I am droppin' good game on your big peaches I just scope-tracked the trailer, free reefer Side-effects strike first, Grim Reaper Desert Eagle, four-five, street-sweeper Like Gucci really see dead people I mean really man, I see dead people Body found, do not make it a sequel Side-effect, me an' you are not equal Growin' up, I did shit so evil Yesterday, half a mil' for two features Niggas warin' in the streets, we ain't equal If I get caught, I see no evil A side-effect, I bought a brick and two Beepers How you snitchin' on a nigga that feed you? A side-effect, get rich, they turn evil Is that a car, is that a plane? No, that is a creature Guwop [Outro] Gato",1,0,0,,2017-12-25T01:35:54.000Z
0,Who's here before 100k 500k 1M 1.5M 2M,8,0,1,,2017-12-25T02:58:43.000Z
0,I like this one..hitting hard in the trunk,3,0,1,,2017-12-25T03:49:41.000Z
0,gucci clone killed it!!!!!!!!!!!!,,0,0,,2017-12-25T05:44:09.000Z
0,"""Side effects strike first grim reaper"" - gucci",1,0,0,,2017-12-25T07:16:25.000Z
0,"BIG GUWOP , TALK TO EM  FBG  THIS SONG DOPE AF",3,0,0,,2017-12-25T20:45:59.000Z
0,Heavy,,0,1,,2017-12-25T23:34:39.000Z
0,“Cartel affiliations man they come with side effects” 🤟🤟🤟,8,1,15,,2017-12-26T07:19:11.000Z
0,Not one bad song on this album,3,0,11,,2017-12-26T07:41:59.000Z
0,the beginning sound like that one song by Juvenile- Slow Motion,12,0,1,,2017-12-27T18:39:34.000Z
0,Even if u do not vibe to gucci there is no way you cannot ride to this,3,0,0,,2017-12-27T22:22:19.000Z
0,Gucci ain't never change !!! just listen to the FLOW !!!!,3,0,7,,2017-12-28T03:54:35.000Z
9,<NULL>,,0,2,,2017-12-28T05:23:56.000Z
0,I love the title and spelling. If you think about it that is how it is pronounced,3,0,1,,2017-12-29T00:07:03.000Z
0,it came from “tijuana” but I had to stretch it” ayeeee From tijuana!,12,0,1,,2017-12-29T03:24:34.000Z
0,This track and beat under rated.,12,0,0,,2017-12-29T09:27:03.000Z
0,How this only got 109k views,2,0,0,,2017-12-29T19:43:03.000Z
9,<NULL>,,0,0,,2017-12-29T20:22:56.000Z
0,This is goooooood,,0,0,,2017-12-30T21:24:53.000Z
0,Burrrt,,0,0,,2017-12-30T21:57:24.000Z
9,<NULL>,,0,0,,2017-12-31T00:00:30.000Z
0,Who else here before 1000000mil,12,0,0,,2017-12-31T01:04:54.000Z
0,It's big guwop period he the best,3,0,0,,2018-01-01T00:09:14.000Z
0,Southside with the Final Fantasy sample I caught that ooo!!! Imma get back on these beats soon who knows man who knows,12,0,1,,2018-01-01T19:12:07.000Z
0,Jake one x southside,,0,0,,2018-01-02T04:19:38.000Z
11,dick rock hard like a math test,11,0,0,,2018-01-02T18:22:48.000Z
9,<NULL>,,0,0,,2018-01-02T18:35:56.000Z
11,how you snitching on a Nigga on that feed Ya,11,0,0,,2018-01-03T10:22:06.000Z
11,This nigga really see dead  people 🤟 aaahhh,12,0,0,,2018-01-04T14:05:45.000Z
0,On replay it got side efx!,3,0,0,,2018-01-05T03:41:52.000Z
0,Wop god damnn NUMBER 4L,10,0,0,,2018-01-05T11:47:30.000Z
0,Tiss Still WIZOP,,0,0,,2018-01-06T04:01:56.000Z
11,This shit get me high,3,0,1,,2018-01-06T10:33:57.000Z
0,Wop getting high again,,0,0,,2018-01-06T22:20:33.000Z
0,"""I popped a watcha ma' call it, and it got side effects"" when the beat hit and it started, I about fell sideways outta bed ",3,0,0,,2018-01-07T20:29:21.000Z
11,Gucci back sippin and smokin aint tellin me shit,12,0,0,,2018-01-08T04:43:02.000Z
11,It's Gucci Shit hitting heavy,3,0,1,,2018-01-08T17:56:31.000Z
0,Nice,,0,0,,2018-01-09T22:03:25.000Z
11,Dick rockhard like a mouth test hitting from the side thats a side efx. Gucci Mane you be killin it bro for real,3,0,0,,2018-01-11T20:08:42.000Z
11,He tried to get a bad bitch but got catfished,12,0,0,,2018-01-17T18:55:48.000Z
0,Big peaches,,0,0,,2018-01-18T15:17:36.000Z
0,I see them 2,,0,0,,2018-01-18T15:17:49.000Z
0,Cacti,,0,0,,2018-01-18T15:18:58.000Z
0,I Popped a Watchu macallit & it got Side Effects,10,0,0,,2018-01-18T19:42:32.000Z
0,Blowin money like trees free meechie..........,10,0,0,,2018-01-19T00:27:43.000Z
0,Big sissy please relay this message gator mouth fee n Clint need to stay away for life they do not me it is Gene tic,10,0,0,,2018-01-20T14:42:04.000Z
0,Fee these licks,,0,0,,2018-01-20T14:42:15.000Z
0,No contact for life,,0,0,,2018-01-20T14:42:24.000Z
0,Sharon n sherry grow up in a stranger wtf a stranger did to u,10,0,0,,2018-01-20T14:42:48.000Z
0,I do not have a parents ok,10,0,0,,2018-01-20T14:43:04.000Z
0,I have plenty of Cunning con artist O kay,10,0,0,,2018-01-20T14:43:29.000Z
11,Florida fuck u 2,11,0,0,,2018-01-20T14:43:37.000Z
11,Boo boo face bitch,11,0,0,,2018-01-20T14:43:59.000Z
11,Get your shit,11,0,0,,2018-01-20T14:44:07.000Z
11,Bahamas dick suckers,11,0,0,,2018-01-20T14:44:33.000Z
11,Got your components you dick sucker,11,0,0,,2018-01-20T14:44:55.000Z
11,Fair lady dick sucker not your home,11,0,0,,2018-01-20T14:45:17.000Z
9,<NULL>,,0,0,,2018-01-20T14:45:21.000Z
9,<NULL>,,0,0,,2018-01-20T14:45:26.000Z
11,Apply you never dick sucker protect it faggot,11,0,0,,2018-01-20T14:45:46.000Z
0,Let us also appreciate Southside for this lit beat. Like for this beat.,10,0,0,,2018-01-24T17:15:33.000Z
9,<NULL>,,0,0,,2018-01-24T23:26:35.000Z
0,is that a car is that a plane no that is a creature GUWOP!!,3,0,0,,2018-01-27T17:53:37.000Z
11,How you snitching on the nigga that feed ya,11,0,0,,2018-02-02T12:55:00.000Z
0,A side effect I bought a brick and two beepers,12,0,0,,2018-02-03T22:23:40.000Z
0,best song on this mixtape,3,0,0,,2018-02-04T21:08:25.000Z
0,New Song Alert,,0,1,https://www.youtube.com/watch?v=HZ41vcIwWU0,2015-06-12T18:24:46.000Z
9,<NULL>,,0,0,,2015-06-12T18:24:47.000Z
0,Kill it,,0,0,,2015-06-12T18:25:20.000Z
9,<NULL>,,0,0,,2015-06-12T18:25:24.000Z
9,<NULL>,,0,0,,2015-06-12T18:25:26.000Z
0,Nice,,0,0,,2015-06-12T18:25:47.000Z
9,<NULL>,,0,0,,2015-06-12T18:26:14.000Z
0,Br da like,,0,1,,2015-06-12T18:26:24.000Z
11,Ty the shit finna see him live tmorrow so stoked,11,1,3,,2015-06-12T18:26:29.000Z
0,First,,0,0,,2015-06-12T18:26:36.000Z
9,<NULL>,,0,1,,2015-06-12T18:27:50.000Z
0,"Ty Dolla $ing u r so beautiful, I love ur songs, kisses <3",3,0,0,,2015-06-12T18:28:56.000Z
9,<NULL>,,0,0,,2015-06-12T18:29:08.000Z
9,<NULL>,,0,0,,2015-06-12T18:31:57.000Z
0,That's What's Up not sharing,10,0,0,,2015-06-12T18:32:43.000Z
9,<NULL>,,0,0,,2015-06-12T18:36:17.000Z
0,i felt like I was on mushrooms for a minute there during part of that. MUCH SUCCESS1 FAN FOR LIFE1,3,0,1,,2015-06-12T18:40:51.000Z
0,Never thought about ironing my bandanas.. Just put me on game.,12,0,3,,2015-06-12T18:45:09.000Z
0,These videos never cease to make me happy.,3,0,3,,2015-06-12T18:57:40.000Z
0,That beat Mr. Richard go eat in the bathroom was dope AF,3,0,2,,2015-06-12T19:08:46.000Z
0,Great vid but what is that song at the beginning ????,2,1,1,,2015-06-12T19:54:04.000Z
9,<NULL>,,0,1,,2015-06-12T19:55:59.000Z
0,What was the song they were smoking to?,2,1,0,,2015-06-12T20:18:35.000Z
0,Wtf is this bullshit,11,0,0,,2015-06-12T20:20:40.000Z
11,this guy must get craaaazy amounts of pussy,11,0,0,,2015-06-12T21:04:00.000Z
0,tommorow at santa barbara,12,0,0,,2015-06-12T21:48:39.000Z
0,That was the coolest thing I heard in a long time I know who I want to pull to you with next these homies redhead man,3,0,0,,2015-06-12T21:59:30.000Z
0,Drop that kitty,,0,1,,2015-06-12T22:02:02.000Z
11,+Ty Dolla $ign please release that song... asap my girl wants to make love to that shit (:,2,0,3,,2015-06-12T22:08:59.000Z
11,Anyone know the name of the song in the beginning of the video.Bad ass beat,2,0,0,,2015-06-12T23:07:11.000Z
0,diggin the life videos but all a sudden no skateboarding what gives,10,0,0,,2015-06-12T23:30:18.000Z
0,You nice,,0,0,,2015-06-12T23:49:16.000Z
0,3:06 Dolla Sign likes Lord Quas!,12,0,2,,2015-06-13T00:49:22.000Z
0,Check out my Day In A Life with me and some friends.Also tay tune cause I got more funny and dumb sh*t coming soon (:,10,2,10,,2015-06-13T00:59:55.000Z
0,Zone,,0,0,,2015-06-13T01:33:03.000Z
9,<NULL>,,0,1,,2015-06-13T01:40:48.000Z
0,Sweet,,0,0,,2015-06-13T01:42:50.000Z
0,Drop That Kitty flopped so hard...come on son.,12,2,1,,2015-06-13T07:43:59.000Z
0,it is called the first song?,2,0,0,,2015-06-13T09:26:01.000Z
0,"Oh so thats the dudes name, that stay with him...",12,0,0,,2015-06-13T10:50:02.000Z
0,"TY using Stone Island, damn casual",12,0,0,,2015-06-13T10:56:50.000Z
9,<NULL>,,0,0,,2015-06-13T12:29:27.000Z
0,he is so amazing,,0,2,,2015-06-13T15:44:22.000Z
0,the name of the first seconde 0:13 ? pls,2,5,5,,2015-06-13T16:48:24.000Z
0,Yung JC in the cut,12,0,0,,2015-06-13T18:40:28.000Z
0,If I tell y'all your the one that song dope asf,12,0,0,,2015-06-13T19:15:25.000Z
0,whats the name of the song around the 6:05 mark when he and ilovemakonnen was smoking to ?,2,1,0,,2015-06-13T21:05:42.000Z
0,can somebody please tell me the song at 6:04 ?,2,1,0,,2015-06-13T22:55:57.000Z
0,Anyone know the name of the first song?,2,0,3,,2015-06-14T02:09:28.000Z
0,whats is the name of the song 6:40 second PLISSSSSSSSSSSS,2,1,1,,2015-06-15T04:15:30.000Z
0,Whats is the name of the song 0:10? :),2,1,0,,2015-06-15T15:25:09.000Z
0,6:03 WHAT SONG R U PLAYING,2,2,0,,2015-06-15T22:38:47.000Z
0,0:40 - 1:08 The best part of the video !,"3,8",6,20,,2015-06-15T23:46:09.000Z
0,"OMG I LOVE THESE VIDEOS ITS GREAT THAT YUR DOING THIS TO INVOLVE YUR FANS AND IVE A FAN FOR THE LAST NUMBER YEARS AND HAVE GONE TO NUMBER OF YOU CONCERTS 02/14 AND 05/15 ,PHX,AZ. LOL.. I WISH I WOULD'VE PUT MY NAME AND NUMBER ON MY BRA I THREW UP AN STAGE FROM THAT LAST CONCERT AND YOU DID FAVOR MY TWEET THAT I POSTED THAT NIGHT OF THE CONCERT AND FUNNY YOU JUMPED INTO THE CROWD AND INTO MY ARMS I LOVED EVERY SECOND OF THAT MOMENT AND MY GOAL WAS TO MEET YOU ONE DAY SO IT'S YET TO COME!! I CAN WAIT TO SEE YOU AGAIN WHICH I HEAR YUR COMING ON JULY 31ST,2015 WHICH IS THE WEEKEND BEFORE MY BIRTHDAY 8/3 SO I HOPE I'M ABLE TO GO . LOVE YA TY$SIGN",3,0,0,,2015-06-16T06:24:08.000Z
0,"Minute 3:09 , 3:10 its random hahahaha DOLLA SIGNNNNNN",12,0,0,,2015-06-16T14:25:54.000Z
0,wiz get no more than a second of video time and theres already a chick tryna drape on him lol This man livin,12,0,0,,2015-06-16T18:43:29.000Z
0,what is the song at 0:43 - 1:08,2,1,0,,2015-06-17T09:37:00.000Z
9,<NULL>,,0,0,,2015-06-17T18:27:17.000Z
0,WHATS THE NAME OF THAT SONG HIM AND iLoveMakonnen ARE SMOKING TO?,2,0,0,,2015-06-17T19:48:04.000Z
0,What's the track called on 4:15?,2,1,0,,2015-06-20T15:03:57.000Z
0,What's the song called at 6:03??,2,1,1,,2015-06-20T20:52:05.000Z
0,Straight Inspiration Right There.,,0,0,,2015-06-21T00:28:05.000Z
0,drop that kitty,,0,0,,2015-06-21T12:56:40.000Z
9,<NULL>,,0,0,,2015-06-21T12:59:07.000Z
0,what is de name of the first song,2,0,0,,2015-06-21T16:47:17.000Z
9,<NULL>,,0,3,,2015-06-22T11:06:03.000Z
0,Song at 0:40 ?,,2,0,,2015-06-28T18:34:47.000Z
11,"""If I tell you you are the one....."" that shit go hard!!",11,0,2,,2015-06-30T04:52:31.000Z
0,What song was playing when he was on stage,2,0,0,,2015-07-01T13:49:37.000Z
9,<NULL>,,0,0,,2015-07-02T08:56:45.000Z
0,Crazy how quick Ty comes up with a hit so easy! Can't wait to hear that one!!,3,0,1,,2015-07-07T21:18:10.000Z
9,<NULL>,,0,2,,2015-07-14T14:40:41.000Z
0,The name of the First song ty sing?,2,1,0,,2015-07-26T08:15:26.000Z
0,but if someone found the first song let know the name of the song ! thanks,2,0,0,,2015-07-26T09:23:30.000Z
0,Is the song out the first one,2,1,0,,2015-08-03T04:34:27.000Z
0,What's the song he sings at the beginning,2,1,0,,2015-08-12T20:13:46.000Z
0,Whats the name of the song he is singing at the beginning?,2,2,0,,2015-08-25T21:06:47.000Z
0,what song is that in the beginning g,2,0,0,,2015-08-26T20:24:51.000Z
0,what is the song time NUMBER sec,2,3,0,,2015-08-28T16:20:36.000Z
9,<NULL>,,1,0,,2015-08-28T16:22:30.000Z
0,That first song should be out now! Not when the album drops.,12,0,0,,2015-09-17T04:24:37.000Z
0,"5:59 LOL LSD synthesized from a Fungus on wheat called ergot in NUMBER ... Steve Jobs , bill gates , elon musk all the way to eminem , TY and Myself have done it ...I Mostly just Vape Weed or eat edibles .. the stronger psychedelics are like lucid dream medication (cool stuff)..Dapz TyLA United",12,0,0,,2015-10-06T20:25:14.000Z
0,what is the song name in the beginning ? 0:11 ?,2,1,0,,2015-10-14T18:34:42.000Z
0,"Keep on making those video's and episode manye , its nice to watch and to see how a artist is working hard",3,0,1,,2015-10-20T15:56:17.000Z
0,0:41 name of the Song?,2,0,2,,2015-11-15T21:21:31.000Z
11,bro leave the acid and shrooms alone Brodie that shit ain't us....,11,0,0,,2015-11-17T11:09:03.000Z
0,sooo this song isnt on Free TC ....where its at tho Ty Dolla $Sign?? lol..that slaps...'if I tell you that you are the one...',2,1,7,,2015-12-03T01:22:53.000Z
0,4:13 song pls? .,,1,0,,2015-12-05T04:47:11.000Z
0,Whats the first song that he was singing,2,0,0,,2015-12-18T22:32:14.000Z
0,whats that song at 0:10 I do not think its usher cause it is not on YouTube!!!,2,0,0,,2016-01-24T03:19:07.000Z
0,Still trynna figure out this damn song,12,0,0,,2016-02-03T18:48:31.000Z
0,anyone know the REAL name to the song he doing when it first comes on?,2,0,0,,2016-02-05T23:40:14.000Z
0,madlib tho says a lot about ty,12,0,2,,2016-03-07T13:17:14.000Z
9,<NULL>,,0,2,,2016-03-25T20:14:17.000Z
11,someone tell us what is the name of the first song..can I have that pussy to myseeeelfff...yaaaaassss you can ty,11,0,1,,2016-06-01T19:09:16.000Z
0,Anyone Here???Plz Plz Plz Tell Me Song At 5:10tell plz :D,2,1,1,,2016-09-09T15:48:31.000Z
0,Anyone Here???Plz Plz Plz Tell Me Song At 5:10tell plz :D,2,0,0,,2016-09-09T15:48:42.000Z
0,MADLIIIIIIIBBBBBBBBBB!!!,,0,0,,2016-10-21T22:21:33.000Z
0,The first song is not in the Youtube what is the name?,2,1,2,,2016-12-09T00:21:31.000Z
9,<NULL>,,0,1,,2016-12-09T00:36:35.000Z
0,I want you so bad!!!,12,0,0,,2017-02-27T20:23:27.000Z
0,want to know which software are they using in every moment,2,0,0,,2017-04-20T09:28:46.000Z
9,<NULL>,,0,0,,2017-12-22T14:59:50.000Z
0,1 comment,,0,1,https://www.youtube.com/watch?v=u6qPHLy4Dd4,2017-12-30T12:06:51.000Z
0,2nd comment,,0,1,,2017-12-30T12:15:42.000Z
0,Mtv can i get a shout out pls,10,0,1,,2017-12-30T12:16:32.000Z
0,Hopefully this is the right one even tho he do not even look 33,12,3,9,,2017-12-30T12:27:08.000Z
0,Amber is crazy!!!!! Y cannot she just wait,8,2,89,,2017-12-30T12:44:12.000Z
0,"The interview seemed forced. She is so extra. Andrew, Mat, Gary she has a type. ..",8,2,26,,2017-12-30T12:47:07.000Z
0,Amber and Janelle are so Co-dependant. Thats why she keeps attracting narcissists.,8,8,295,,2017-12-30T12:55:24.000Z
9,<NULL>,,7,2,,2017-12-30T12:58:17.000Z
0,"She talking about ""thank god"" when they asked him if he has kids when she know damn well she was pregnant at that very moment lol! Then it looks really bad when just on last week's episode she was still debating on what to do about Matt then this episode she is with a new guy. Like it was only a few weeks in between. Smh Amber when will you learn!",12,2,18,,2017-12-30T13:05:27.000Z
0,"The last dude had kids a mile long, this dude has a criminal record a mile long.",8,8,124,,2017-12-30T13:05:44.000Z
0,"First of all, Farrah's daughter, seems to be very spoiled. Second, why cannot these girls' wait to have someone by their side. They jump from relationship to relationship too quick. The bad thing is they are all exposed to fake people wanting to date them because of their "" celebrity"" status.",8,4,77,,2017-12-30T13:07:51.000Z
0,yes how did you know,2,0,0,,2017-12-30T13:10:22.000Z
0,"Just as long as you have a pulse, Amber digs you.",8,3,84,,2017-12-30T13:15:09.000Z
0,Why can’t Amber just focus on raising her daughter and actually being there for her instead of these men. Having watched the previous episodes it was very sad to see she didn’t visit her daughter in weeks.,8,8,269,,2017-12-30T13:23:34.000Z
0,I thought she was with the other guy oh well this guy seems nice,12,2,1,,2017-12-30T13:25:34.000Z
