comment_class,comment category,comment_text,reply_count,like_count,video_name,date
0,2,So correct me if I am wrong but:G403 - Original Wireless Gaming MouseG703 - G403 + Wireless ChargingG603 - Lightweight Version of G403Am i getting this right?,15,38,,2017-09-01T17:16:29.000Z
9,,<NULL>,0,0,,2017-09-01T17:17:34.000Z
0,8,i have a wireless not gamin keyboard and that works fine but id love to get a wire,0,0,,2017-09-01T17:21:37.000Z
0,,Whatssup,0,0,,2017-09-01T17:23:22.000Z
0,3,Logitech make a tkl version of this likes wireless g pro,0,0,,2017-09-01T17:23:34.000Z
0,2,Does the cap lock key have a light?,0,0,,2017-09-01T17:27:47.000Z
0,2,"wait, what are the batteries for on the logitech mouse???",3,0,,2017-09-01T17:27:52.000Z
0,2,What was the gameboy looking device next to the keyboard? Portable Raspberry Pi retro gaming thing?,1,0,,2017-09-01T17:29:46.000Z
0,,Frank can u like this comment It would mean a lot,0,2,,2017-09-01T17:33:18.000Z
0,4,Say no to num pads!,0,0,,2017-09-01T17:38:43.000Z
0,,Great video man!,0,0,,2017-09-01T17:41:50.000Z
0,,FandomRankP!,0,3,,2017-09-01T17:45:44.000Z
0,8,"I really like using my wireless mouse - the Razer Mamba Chroma. I like the included charging dock, and since I am adjusted to the weight of a battery in a mouse, anything that is wired just feels too light. Just saying, everybody's got their preference. And if that keyboard gets backlighting, I had get it in a heartbeat",0,0,,2017-09-01T17:46:10.000Z
0,3,Wireless is getting better.,1,3,,2017-09-01T17:49:08.000Z
0,4,and no led for the keyboard at that price..,6,14,,2017-09-01T17:52:04.000Z
0,,Watching with my g403,2,0,,2017-09-01T17:53:03.000Z
0,8,I am waiting on a wireless keyboard that has cherry mx blue. Save us ducky,4,8,,2017-09-01T17:54:57.000Z
0,1,Looks just like the k55,0,0,,2017-09-01T18:08:00.000Z
0,,61 shots missed D:,0,0,,2017-09-01T18:09:27.000Z
0,8,damnit i just bought a g502,0,0,,2017-09-01T18:09:43.000Z
0,8,when you playing battleground's and the only AAA that you are going to see are the batteries on your mouse :v,1,0,,2017-09-01T18:12:18.000Z
0,2,So why would I get G603 over G403??,1,0,,2017-09-01T18:16:02.000Z
0,1,"$150 for the keyboard and no back lighting whatsoever? You'd be better off with the G610 or G810 imo. They're not wireless, but they are $50 cheaper, well-worth the money, and actually have back lighting. Especially the 610. Cherry MX Browns or Reds, bright white LED's, and only $100 (sometimes less at certain places)",14,2,,2017-09-01T18:19:30.000Z
0,3,I love the look of the G603 but the functionality of the G903 ;( That keyboard needs a tkl version,8,36,,2017-09-01T18:20:00.000Z
0,3,Great video as always dude! I have been trying to attempt to make my own videos but I am always so awkward and shy. You should make a video kinda like behind the scenes of how you are so confident in your videos! Keep it up dude!,0,0,,2017-09-01T18:43:17.000Z
0,3,Having recently bought a laptop for my programming studies I am seriously considering buying a good wireless mouse. This seems perfect since I can use it with both my laptop with Bluetooth and my gaming pc through the dongle,0,0,,2017-09-01T18:52:16.000Z
0,3,"i realy like his voice its like perfect for these kide of videos and i realy love when frank plays cs:go ""Right on the nutts""",0,0,,2017-09-01T18:57:57.000Z
0,4,"The batteries ruin it for meBattery duration does not matter if it is gonna eventually start dying while I am in the middle of paying a game and having to go grab more double AA batteries in the middle of a league game would not be fun. I much prefer rechargeable peripherals, as long as the battery lasts long enough for a whole day of gaming you can just charge it overnight and you have nothing to worry about",1,0,,2017-09-01T19:07:34.000Z
0,4,"Logitech is starting to get overpriced like Razer. That mouse is just another copy and paste g403 with a different sensor. And the keyboard is just pathetic, NUMBER bucks for a wireless keyboard that will stay in one spot most of the time anyway, and it has absolutely no backlighting. Wtf.",0,0,,2017-09-01T19:09:03.000Z
0,3,The Romer G switch is a tactile switch like a faster brown with a mushy bottom.,0,0,,2017-09-01T19:14:23.000Z
0,2,What's that aiming practice thingy? Third party app or inside CSGO?,1,0,,2017-09-01T19:20:08.000Z
0,4,"That keyboard will look and feel cheap to g900 mouse. Dreaming for a long time for wireless keyboard, but small enter, cheap buttons, why no scroll volume and some metal",0,0,,2017-09-01T19:22:18.000Z
0,3,Still waiting for tkl wirelles.,0,0,,2017-09-01T19:25:51.000Z
0,1,The phone stand is so you can switch and use the keyboard on your phone,0,36,,2017-09-01T19:28:51.000Z
0,2,You should do a comparison between the Logitech G603 and the Mx master 2,1,0,,2017-09-01T19:32:55.000Z
0,2,What's that csgo tester tho?!,0,0,,2017-09-01T19:55:21.000Z
0,3,Love your reviews man,0,1,,2017-09-01T19:57:24.000Z
0,2,"Hey frank, I am searching for a new mouse, and I do not know wether I should go with the g403 or the g603. Please I need your advice",0,0,,2017-09-01T20:00:59.000Z
0,2,Do a review on the g602,0,1,,2017-09-01T20:03:56.000Z
0,8,Am I the only one who thinks that skill is skill and useing a regular keyboard and mouse won’t make any difference if you were already good anyway it’s like saying drinking protein shakes will make you ripped but it’s meant to help people who were already working out,0,0,,2017-09-01T20:10:08.000Z
0,1,"I think of the Drevo Caliber and G602, both of which are wireless. And the cheapest, reliable ones I could find.",0,0,,2017-09-01T20:11:54.000Z
0,4,no rgb :(,0,0,,2017-09-01T20:15:55.000Z
0,4,"No rgb, so they are not gaming...",0,0,,2017-09-01T20:20:41.000Z
0,1,The phone stands is for using the keyboarf and mouse with a phone.,0,0,,2017-09-01T20:28:51.000Z
0,3,Step your game up........ The keyboard can switch between the phone/tablet and pc with the push of a button. The phone stand. is. for. that. It would be nice to see how the mouse GAMES. Maybe test the mouse more in the review? Does the battery rattle? What about the mode where you can only use one battery? How is the weight? Rocket Jump Ninja does it righttttttttttttt.I will not be buying the keyboard based on the wrist wrest not being detachable. I cannot wait until the do more wireless keyboards.,0,0,,2017-09-01T20:37:25.000Z
0,2,"Meh, let ne know when we have wireless mouse abd keyboard not requiring batteries for my HTPC even if the mouse has a ball to give a signal",0,0,,2017-09-01T20:39:19.000Z
0,8,Wish the keyboard was tkl,0,0,,2017-09-01T20:56:09.000Z
0,8,Latency is just a thing in the past nowadays hooray!,0,0,,2017-09-01T21:00:45.000Z
0,1,"At the start of the video u said ""companys"" but to be honest Logitech is the only one",0,0,,2017-09-01T21:07:09.000Z
0,3,Logitech is literraly becoming razer with that price,0,0,,2017-09-01T21:17:51.000Z
0,3,Im so fucking glad wireless gaming peripherals are improving and becoming more available. Really want a wireless gaming headset with a headphone stand that have built in charging though so you do not have to pull out a cord everytime you want to charge up.,0,1,,2017-09-01T21:30:51.000Z
0,1,"The Drevo Calibur comes with RGB, wireless connectivity, PBT keycaps, is 90$ cheaper, and TKL, seems like a much better buy than the G613.",0,0,,2017-09-01T21:30:52.000Z
0,1,"A good idea for wireless gaming keyboards would be a built in Qi charger in the bottom, that way you can install one of those Qi pads from ikea that you drill into your desk so its flush with the surface and always be able to charge the keyboard by just moving it into the right position and not have to hassle with batteries or cables",0,0,,2017-09-01T21:35:57.000Z
0,4,Please... Stop with the fake voice and emphasis,0,3,,2017-09-01T21:44:18.000Z
0,8,0:54 What is this? Austin Evans?,0,0,,2017-09-01T22:03:15.000Z
0,2,Please do a review on the Logitech G533 Wireless Headset.,0,0,,2017-09-01T22:08:15.000Z
0,1,lol at 2:47 logitech should written is as PMW336 not PWM336,0,1,,2017-09-01T22:13:29.000Z
0,3,"i think the phone stand actually makes sence, considering that you can pair the keyboard with your phone using bluetooth.this could make it so easy and fast to send a text message or anything else for that matter",0,0,,2017-09-01T22:17:02.000Z
0,2,What grommets did you use for your desk holes?,0,1,,2017-09-01T22:18:34.000Z
0,1,The G403 Wireless has been around for about a year,0,0,,2017-09-01T22:31:12.000Z
0,3,I want a wireless Logitech G Pro tenkeyless keyboard combined with G903 mouse. On the new Powerplay mouse pad/charging station (but full size extended mouse mat for both KB & M). That would be my ideal setup as long as the keyboard has zero latency (just as good as wired).,0,0,,2017-09-01T22:48:20.000Z
0,4,When teh TKL version comes out i will buy it!! Allreagy have the G900 and its a BeAST!,0,0,,2017-09-01T22:52:41.000Z
0,,"""Fps shooters""",0,0,,2017-09-01T23:08:30.000Z
0,4,Wireless?! :DNo RGB Lighting?! :(,3,12,,2017-09-01T23:10:18.000Z
0,3,I just bought logitech G Pro keyboard :(,0,0,,2017-09-01T23:11:35.000Z
0,4,"It requires batteries, which is a huge no no for me. I already changed enough batteries for my apple mouse and keyboard its a huge pain in the but, plus it costs a fortune too.",0,0,,2017-09-01T23:24:40.000Z
0,,Price?,0,0,,2017-09-01T23:27:00.000Z
0,4,"WHY do companies keep making full size keyboards??? Majority of gamers do not even use the num pad! If they want to keep the keypad, put it on the left side so keyboard+mouse ergonomics are a lot better!",0,0,,2017-09-01T23:27:53.000Z
0,2,Romer-g have tactile bumps right?,0,0,,2017-09-01T23:34:25.000Z
0,2,A wireless mechanical keyboard? I need to know more. Is it backlit?,1,2,,2017-09-01T23:56:20.000Z
0,,im gay,4,3,,2017-09-02T00:06:51.000Z
0,4,Think i'll just stick with my G403 :P,0,0,,2017-09-02T00:35:36.000Z
0,4,"my dude, i like ur content but i dont think adding fake lens flare is any good,i mean its just my opinion but i think with out it it well be better :)",0,0,,2017-09-02T01:13:27.000Z
0,2,You use the LG G6?,0,0,,2017-09-02T01:40:59.000Z
0,4,"I was really hoping they eould update the legendary g602 with maybe their infinate click wheel,mechanical side buttons or the NUMBER sensor. What they made looks like a g403 that is powered by double A batteries",1,0,,2017-09-02T02:16:07.000Z
0,8,"Ive been praying logitech made a wireless mechanical keyboard, but that thing is huge, if it had the size and simple design of a MasterKeys Pro s id be all over it",0,0,,2017-09-02T03:41:47.000Z
0,2,"eyy, what is on the right of the keyboard ",0,0,,2017-09-02T04:52:47.000Z
0,2,Which game you are playing,0,0,,2017-09-02T05:34:21.000Z
0,2,Plz make a Step-by-Step process on building a gaming PC from scratch. Would greatly appreciate it no tutorials are good on YouTube.,0,0,,2017-09-02T05:57:10.000Z
0,3,Hey frank :) please do not complain about the bonus phone stand! That's pretty cool! Logitech please keeep it hahahahaha,0,0,,2017-09-02T05:59:20.000Z
0,3,i guess budget gaming bundles are coming more popular,0,0,,2017-09-02T06:03:37.000Z
0,3,its like wireless k55 with less RGB and less corsair,0,0,,2017-09-02T06:05:33.000Z
0,10,I thought u had ginger hair?,0,0,,2017-09-02T06:11:59.000Z
0,8,It's funny how the comment ask for an RGB lightning on a wireless keyboard,0,0,,2017-09-02T06:44:23.000Z
0,2,"I was looking for a keyboard on logitechs site because i like their Omron switches, I am a low profile gamer not that much into the flashy RGB keyboards, i plan on using the mx anywhere for gaming and multi tasking. I was disappointed with the options for wireless gaming keyboards for desktop play (not couch play) because there were really no such thing from reliable companies. I had given up on finding a gaming wireless keyboard, so, basically, FUCKING THANK YOU LOGITECH.",0,0,,2017-09-02T07:04:26.000Z
0,2,"I would like to see a keyboard that includes:*Wireless.*White lighting (or blue for Logitech style).*mechanical mx brown or romer g.*Key layout like the Logitech k360 that as full numpad in a small size.*A line of macro as seen here.*Media keys.*No built in rist rest but removable.*Rechargeable built in battery.*Long lasting battery (a month will be fine if we can charg it).Thanks for the video, a very well made and i enjoyed it.",2,9,,2017-09-02T07:07:02.000Z
0,3,I think the entire reason behind the phone stand is the ability to hit the bluetooth button and be able to type a message on your phone.,0,0,,2017-09-02T07:32:23.000Z
0,3,"its amazing review about Logitech G603 Wireless Gaming Mouse & G613 Wireless Gaming Keyboard . actually i m also used this prouduct. thats are so good product for me.otherwise i am a seo marketer, if any type o help about this mrketing .you can check it here",0,0,,2017-09-02T07:56:34.000Z
0,10,Autonoooooooooooooobbbbbbbbbbbbb,0,0,,2017-09-02T08:18:24.000Z
0,2,the questtion is not if wireless is just as good as wire....we already knew that since the 900/403 mouse. the question is....if this new sensor is just has good as the old. for that we need Rocket Jump Ninja for the Real testing.,0,3,,2017-09-02T08:38:01.000Z
0,1,"I have the G603. I love the extra weight, but that can be because Im a old gamer.I have ordered the G613. No wires is just sick. This combined with the Dell S2417 DG, makes my total setup look like old and maybe bland compared to the crazy RGB setups. But man, everything are HIGH end products and top of the line for serious gaming.",0,0,,2017-09-02T08:44:51.000Z
0,3,wires for the win....g402+fps alloy cherry blu switches=not overpriced peripheral set for under NUMBER dollars,0,0,,2017-09-02T09:17:15.000Z
0,4,Only recommendation to logitech is to try to stop using batteries and use either micro usb or type C besides that perfect brand who agrees?,1,1,,2017-09-02T10:18:32.000Z
0,4,It's a shame it does not support left-handed gaming for the mouse.,0,0,,2017-09-02T11:30:13.000Z
0,4,"$150. $70. Hahahahaha. No. Just no.Also, the G602, a wonderfull wireless gaming mouse from logitech is often on sale for $40. Sometimes it is even less. Seems like a better mouse too, for less.",1,0,,2017-09-02T12:09:13.000Z
0,4,3 words that dont go together. wireless gaming peripherals. What a joke.,2,1,,2017-09-02T12:34:33.000Z
0,3,Need cherry mx switches and wireless ! So i could change my keycaps :D,0,1,,2017-09-02T13:16:09.000Z
0,1,RGB reduces any mouse latency its not that complicated,0,0,,2017-09-02T14:07:03.000Z
0,10,pop boundary wash hard disorder ban badly fuel rely.,0,0,,2017-09-02T15:32:57.000Z
0,3,Finally a video on wireless gaming keyboard and mouse!! Thanks bro!,0,0,,2017-09-02T15:41:59.000Z
0,8,Now we w8 NUMBER da Razer copy,0,0,,2017-09-02T15:45:43.000Z
0,6,Thanks - Like the G602 better -- Also First NUMBER or Older,0,0,,2017-09-02T16:55:18.000Z
0,4,"Your speakers are set up so incorrectly. Way, way too high.",0,0,,2017-09-02T17:39:50.000Z
11,1,"Wireless gaming has been possible since 2012, No noticeable latency people just stuck in the past. True you have to charge them every night, but logitech still has those as well. This is a middle ground for a marathon mouse and high performance one. And NUMBER for a good mouse overall is a deal, Don't know what world you are living in. Keyboard... Yeah a bit pricey, but that market is dry as fuck so no wonder and even then more expensive keyboard come at 150+ anyway.RGB is a gimmick deal with it.That phone stand is for when you connect the keyboard to your phone, since it has bluetooth. And a companion app of some kind, I believe.Overall, the last couple of years I have been more and more surprised by logitech, it is unbelievable! For the last NUMBER years they have been improving a lot for gaming peripherals. While others have their fingers up their asses. After 5+ years razer still has software issues WTF! :D Buy razer Get gaming gimmicks, top notch hardware and software that makes the hardware useless.",0,0,,2017-09-02T18:24:22.000Z
0,1,"I know why they did not include RGB, but it is an important selling feature for me. Guess I will pass on this version. Maybe strides in power efficiency will allow RGB integration one day.",1,1,,2017-09-02T18:31:35.000Z
0,1,The phone stand maybe a keyboard stand to save space when you do other stuff,0,0,,2017-09-02T19:02:31.000Z
0,4,Honestly don’t bother buying wireless keyboard and mouse for desktop. Because how much are you actually moving your desktop to where you need wireless things? I guess if you’re a clean freak then yeah. But that’s all.,0,1,,2017-09-02T19:40:41.000Z
0,4,"not rechargeable, no rgb huhuhu. i just want a white g403 wireless",0,0,,2017-09-02T20:55:28.000Z
0,4,Logitech including the little phone stand is like being NUMBER words short on a NUMBER page AP Lit essay and just adding some fluff for the grade,0,0,,2017-09-02T20:59:09.000Z
0,4,I will stick with my g602 mouse,0,0,,2017-09-02T21:35:07.000Z
0,4,"I am sorry, i like my cable keyboard and mouse so I am ma just leave",0,0,,2017-09-02T22:46:21.000Z
0,3,0:10 Nice rapping ;),0,0,,2017-09-03T00:00:11.000Z
0,1,"The purpose of the phone stand is to improve your viewing angle by tilting it a little bit, since you can connect via Bluetooth. Although I would not see myself writing documents on, say a plane, with a large keyboard like this, the possibility is there. I think you can also put a tablet if you put it vertically, but I do not know.",0,0,,2017-09-03T03:06:50.000Z
0,1,I think the phone stand is so that you can type on your phone with the keyboard,0,0,,2017-09-03T06:52:56.000Z
0,3,If only the wrist rest was detachable,0,0,,2017-09-03T11:41:02.000Z
0,4,no rgb? how dare they call them gaming.,0,0,,2017-09-03T13:10:24.000Z
0,2,What game are you playing with just target practice?,0,0,,2017-09-03T15:05:00.000Z
0,1,"Take one of the batteries out if you want to reduce weight. They are run in parallel, so the mouse does not require both to operate. You will just lose battery capacity.",0,1,,2017-09-03T16:19:37.000Z
0,1,The point of the phone stand is so that you can hook up a tablet or phone to the keyboards bluetooth and switch back and forth from the computer to the phone. So it gives you an option to text people back using the keyboard instead of picking up your phone and using the touch keyboard.,0,0,,2017-09-03T18:32:19.000Z
0,3,This is a buy for me since reconnecting or disconnecting cords is a hassle for me due to how my setup is.,0,0,,2017-09-03T20:39:53.000Z
0,8,Claw grip,0,1,,2017-09-03T21:19:47.000Z
0,3,This man is the best example of hard work makes a man perfect,0,0,,2017-09-04T01:37:58.000Z
0,2,"Didn't you get the ""lag"" time wrong on this keyboard? You're talking about the keystroke time, but lag time underneath looks truly bad with a few 1000ms reports.",0,0,,2017-09-04T03:39:26.000Z
0,4,"too bad it is got the rubber-g switchesalso, the phone stand is to use with the arx control app",0,0,,2017-09-04T04:04:28.000Z
0,2,"Please do a video comparing all the wireless Logitech mice! I would like to see the G603 and G703 compared specifically, but including the G900, G903 and G403 wireless would be really helpful too.",0,0,,2017-09-04T10:40:51.000Z
0,4,Call me a gaming scrub but why cannot you just use a normal wireless keyboard or mouse for gaming I got a wireless mouse at Walmart and it has worked fine for gaming for a long time. And web browsing as well. Plus you will save some money too. Idk about wire less key boards though. Never hade one so idk. But I might get one in the future. So yea.,0,0,,2017-09-04T12:19:18.000Z
0,2,"I want this keyboard with optional backlight (simple button for on and off so ou can turn it on when its dark, or even better, a light sensor which does it automatically) and the aluminum body of the G413 and more battery spots with charging circuits so you can charge it via USB and use it while charging. Perfect Keyboard!And a solar panel. That would be great. for RGB with minimal decrease in battery life.And that phone stand need an optional charging port add-in for USB-C, Micro B etc. so it works with all phones.",0,0,,2017-09-04T12:20:37.000Z
0,1,"If the mouse is heavy to you, you can remove NUMBER of the batteries & play with only 1.",0,0,,2017-09-04T13:34:56.000Z
0,1,"The 1ms is not the end to end latency, but the report rate of the device. What does that mean? It mean that the keyboard/mouse will send information to the wireless receiver on the computer once every NUMBER millisecond (or a thousand times per second). Latency is something else, it is the amount of time it takes for the keyboard to send one command( one of those NUMBER command a second). So all commands come with some latency but they are 1ms apart from each other.",0,0,,2017-09-04T14:23:29.000Z
0,2,Is it rgb?,0,0,,2017-09-04T15:09:59.000Z
0,3,Logitech needs to release a TKL version,0,0,,2017-09-04T16:14:38.000Z
0,4,For real Logitech??? I wanted a mouse that perform like gaming mouse and with a lot button to customise for my productivity work and you just dump down G600 for this? Why??? Why not keep the button layout of the G600 and make it more modern looking? Why not make a perfect mouse? If you make G900 layout I will be fine since it is ambidextrous and good amount of buttons. Now you just dump down the G700 and G600 series and randomly call a mouse a G603 and G703??? What the hack Logitech?And there is no left and fifth tilt buttons on the scroll wheel!!! What the hack Logitech!,0,0,,2017-09-04T16:49:09.000Z
0,1,problem in the descrriptionu said g602,0,0,,2017-09-04T16:49:48.000Z
0,2,Can we use the G603 and G613 with the same USB dongle or do we have to use both?,0,0,,2017-09-04T20:49:31.000Z
0,1,Frank you get the phone stand so that you can hook your keyboard up to your phone via the bluetooth function and type on your phone. I think it is great that you can easy switch from computer to phone via the wireless and bluetooth functions.,0,2,,2017-09-05T08:28:58.000Z
11,11,Fucking auto sniping noob. xD,0,0,,2017-09-05T08:34:15.000Z
0,1,The phone stand is for the keyboard genius,0,0,,2017-09-05T11:08:32.000Z
0,1,"Hi  this is John, Product Manager of the Logitech G603. Thanks a lot for your video! About the weight of the mouse, you can actually use a single AA battery and save NUMBER grams, without affecting the performance besides the battery life. You can also use a single lithium AA battery and save another NUMBER grams!! All in all, you can shave NUMBER grams off the config tested in the video. How about that for a cool feature? ;-)",1,3,,2017-09-05T22:17:41.000Z
0,2,Can I have the wireless gaming mouse,0,0,,2017-09-06T02:45:26.000Z
0,1,"In the description, you said G602 yet it is the G603.",0,0,,2017-09-07T02:24:36.000Z
0,,Wish it had rgb,0,0,,2017-09-09T15:29:49.000Z
0,3,"I can only find one wireless, TKL, mechanical keyboard on the market and it costs an arm and a leg. I hope Logitech or Corsair make one soon.",0,0,,2017-09-11T03:35:17.000Z
0,1,"You can bluetooth the keyboard with your phone so you can use the keyboard for the pc & phone. So now you can write emails, sms, or notes on a mechanical....ill be getting both of these forsure",0,0,,2017-09-11T10:08:30.000Z
0,3,"Great review, thanks!",0,0,,2017-09-12T10:11:13.000Z
0,4,"So misleading... the mouse weighs NUMBER grams with the AA batteries inside of it, making it heaviest mouse. AND REALLY? AA batteries????? WTF happened to PowerPlay??? They talk about how good the performance on this mouse is but if you look at the performance bar it is slightly less than the ones in the G903 and G703.",0,0,,2017-09-16T01:09:44.000Z
0,1,"Bruh, that stand goes for the tablets to get it comfy when you connect keyboard to tablet over bluetooth :D lol",0,0,,2017-09-18T19:20:56.000Z
0,3,hope logitech release a TKL version.,0,0,,2017-09-19T01:18:15.000Z
0,2,Anyone know if this mouse and keyboard can be used without batteries with just the cable supplying power? what about logitech's other wireless mice? I want a mouse that I can use at home and on the go.,0,0,,2017-09-19T03:57:34.000Z
0,2,I cannot decide between the G603 or Mx Master 2s which do you think is a better choice and by the way I will be doing Gaming AND Productively,1,0,,2017-09-20T05:15:29.000Z
0,3,"Wish the keycaps were laser but other than that this is probably exactly what I have been waiting for to use with both my MBP and PC. Tenkeyless too, wish there was a tenkeyless option:(",0,1,,2017-09-23T07:03:48.000Z
0,4,"If only Logitech would make a direct successor to the G602, these mice perform great, but they are relatively useless to anyone that needs the extra buttons on the side",0,0,,2017-09-25T13:51:25.000Z
0,2,Can you remove the key Caps?,0,0,,2017-09-27T14:31:02.000Z
11,11,damn that phones fuckin GRIMY. wash your shit fool,0,0,,2017-09-28T07:54:28.000Z
0,,no backlight... pass,0,0,,2017-09-28T08:18:24.000Z
0,,I want both,0,0,,2017-10-09T10:30:44.000Z
0,3,I just got this keyboard and mouse and they are great for couch gaming! You did not mention about the joystick slider button though. What is that for? Gaming mode? More responsive?,0,0,,2017-10-12T15:20:46.000Z
0,4,"Kind of sucks there is no 500Hz option, nor LED lighting. And it must be heavy with AA batteries.",0,0,,2017-10-15T23:15:04.000Z
11,11,you have a lisp of someone who sucks dick. bitch,0,0,,2017-10-16T19:18:22.000Z
0,3,"Gonna buy the G603 mouse, looks pretty good. FYI, you can take one battery out if you find the mouse a little heavy and it will still function properly, but of course sacrificing some battery life.",0,0,,2017-10-25T12:18:47.000Z
0,1,The purpose of the stand is to utilize the Bluetooth feature to switch from devices.I didnt think i'll be a fan of the romer switches but i fell in love with the logitech pro keyboard,0,0,,2017-11-11T14:56:24.000Z
0,8,My favoritesKeyboard: Corsair K70Mouse: Logitech MX Master 2S or ROG Spatha,0,0,,2017-11-14T01:13:56.000Z
0,3,"In a world where you sometimes do not even get a charger with your rechargeable device, I thought the phone stand was just a really nice touch. Maybe they had a plastic surplus :P Love the keyboard. I will probably end up getting two. Gotta have one for the office of course. How is the mouse size? I tend to like medium to medium-small mice even though I have large hands. The G900 for example is really annoying with the bulbous back side.",0,0,,2017-11-18T11:21:15.000Z
0,3,"TBH the G603 is perfect for the minimalist, no nonsense gamer. You do not need more than NUMBER macro keys, an extra 10G weight or RGB lighting to git gud. I am just disappointed that they did not take the same approach with the keyboard and make it TKL or even 60%.",0,0,,2017-11-19T00:24:26.000Z
0,,150 bucks!!!!!!!!!!!!!!!!!1,0,0,,2017-11-24T06:15:52.000Z
0,4,Hmm keyboard looks kinda bland for 150$ but the wireless mice are a nice thing as no more cable drag. I will be fine with my wired keyboard though,0,0,,2017-12-07T05:59:32.000Z
0,1,Randomfrankp ... that phone stand is there because of easy onekey switching between PC and bluetooth-Phone or tablet to write on. Thats another great feature i think :),0,0,,2017-12-07T23:03:52.000Z
0,2,Is the g603 better than the g900 though?,0,0,,2017-12-07T23:57:26.000Z
0,4,Your aim on Csgo gives me cancer,1,0,,2017-12-08T09:31:28.000Z
0,,05:54,0,0,,2017-12-19T16:45:55.000Z
0,1,the doc is to switch between Bluetooth and wifi on your keyboard and switch between your computer and phone.,0,0,,2017-12-30T16:07:00.000Z
0,2,Trying to decide between this one and razor chroma ornata? I need it for programming purpose. Any suggestions???,0,0,,2018-01-03T06:21:18.000Z
0,2,Some people would spend 150$ on keyboard with no lighting just mechanical. Whats the diffrenc between using wired an wireless keyboard. If somebody is willing to spend 150$ on keyboard with no light because is wireless then he needs to kill himself.For this price you can get full size rgb mechanical keyboard from corsair or razer. On ebay for this money you can get used xbox one s,0,0,,2018-01-07T23:04:07.000Z
0,3,The batteries make it too heavy f my hand but its a good wireless,0,0,,2018-01-12T10:07:25.000Z
0,2,Keyboard and mouse are wireless. But do you need both USB receivers to operate the keyboard and the mouse or can one USB receiver connect both?,0,0,,2018-01-16T15:13:49.000Z
0,2,Can you do a review in the new corsair dark core wireless mouse please???,0,0,,2018-01-25T03:15:52.000Z
0,4,"I want to buy this because I am terrible at cable management, but I do not have enough money. :(",0,0,,2018-01-30T03:28:21.000Z
0,,FIRST,2,1,https://www.youtube.com/watch?v=19ebWNx75aA,2017-09-19T13:00:59.000Z
0,10,Love Metal Jesus Love worms ( especially the rather strange Gameboy color version),0,0,,2017-09-19T13:01:22.000Z
0,10,Meta lJesus was so thirsty he drank Canada Dry.Get it?I'll see myself out.,4,21,,2017-09-19T13:12:04.000Z
0,3,"This game legit looks like a lot of fun! I think my friends and I would have a ball with this. Love almost any game that lets you all chill on the couch and play together. Plus...it's cartoon worms, so yeah. Awesomeness.",0,0,,2017-09-19T13:13:34.000Z
0,8,Didn't know Worms was out for PS4?,2,3,,2017-09-19T13:14:53.000Z
0,3,That game looks fun,0,2,,2017-09-19T13:15:17.000Z
0,4,You are terrible at this game. But I think everyone are.,0,0,,2017-09-19T13:17:26.000Z
0,3,Hey Metal Jesus I just wanted to let you know that I have recently taken up game collecting! And It's mostly because of you and the crew! I am starting with the PSP and PS2 and I just want to say thank you for being such a prominent member of this community and giving people like me someone to look up to! :),9,27,,2017-09-19T13:20:53.000Z
0,1,The first Worms was released on Amiga in 94-95,2,2,,2017-09-19T13:27:55.000Z
